Time_Second,Machine_Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure
49,H (High),304.0,312.9,1495,46.6,0,0
50,L (Low),301.7,310.7,1763,25.9,3,0
51,M (Medium),297.6,309.3,1529,41.9,3,0
52,H (High),300.6,310.6,1419,39.6,3,0
53,L (Low),298.2,308.0,1658,30.0,3,0
54,L (Low),300.4,309.5,1525,51.3,4,0
55,L (Low),300.4,311.7,1373,47.2,3,0
56,L (Low),298.6,309.0,1456,47.7,0,0
57,L (Low),297.9,308.0,1501,36.7,4,0
58,L (Low),301.1,310.7,1376,49.1,0,0
59,H (High),301.3,310.0,1532,36.3,2,0
60,L (Low),299.3,310.8,1426,42.4,0,0
61,M (Medium),297.7,307.2,1405,43.7,2,0
62,M (Medium),297.3,308.3,1501,38.2,2,0
63,L (Low),302.3,311.7,1281,48.8,0,0
64,L (Low),297.1,308.5,1555,36.2,0,0
65,L (Low),301.3,311.1,1624,40.9,0,0
66,H (High),298.4,308.9,1577,37.1,0,0
67,H (High),300.2,310.3,1408,42.5,0,0
68,L (Low),298.8,308.9,1402,37.9,2,0
69,L (Low),299.3,308.4,1406,47.4,3,0
70,M (Medium),297.5,308.9,1436,44.8,2,0
71,M (Medium),299.5,310.7,1364,49.5,0,0
72,L (Low),299.1,308.5,1415,43.4,0,0
73,L (Low),298.7,309.8,1539,33.4,2,0
74,L (Low),300.3,309.9,1518,36.4,0,0
75,M (Medium),300.6,310.3,1614,32.7,0,0
76,L (Low),297.4,308.4,2151,17.7,0,0
77,L (Low),303.2,311.5,1513,37.9,0,0
78,L (Low),300.3,310.2,1492,52.3,2,0
79,L (Low),300.9,310.7,1573,31.2,2,0
80,L (Low),301.7,309.8,1398,46.0,109,0
81,L (Low),302.6,311.7,1254,54.1,19,0
82,M (Medium),302.7,310.5,1398,47.3,70,0
83,L (Low),299.9,309.6,1254,61.3,124,0
84,M (Medium),301.9,310.9,1317,51.9,40,0
85,L (Low),301.8,309.6,1432,43.7,138,0
86,L (Low),301.4,310.4,1301,51.2,112,0
87,L (Low),304.1,313.1,1327,54.1,57,0
88,M (Medium),301.7,311.0,1298,58.1,168,0
89,H (High),302.6,310.4,1409,53.3,52,0
90,L (Low),302.4,310.1,1429,43.7,104,0
91,M (Medium),302.6,310.4,1451,43.1,35,0
92,L (Low),302.5,310.3,1446,44.0,146,0
93,L (Low),304.0,312.9,1313,53.9,202,0
94,M (Medium),303.4,311.8,1391,42.7,197,0
95,M (Medium),299.3,308.7,1289,51.5,185,0
96,L (Low),302.6,310.4,1415,52.1,12,0
97,M (Medium),299.3,308.5,1304,60.6,8,0
98,L (Low),300.1,309.0,1314,58.2,114,0
99,L (Low),302.2,310.8,1340,47.8,54,0
100,M (Medium),301.8,309.6,1436,49.0,214,0
101,M (Medium),301.5,310.4,1276,55.6,158,0
102,L (Low),303.2,312.6,1281,57.0,144,0
103,L (Low),297.5,308.6,1208,62.3,28,0
104,L (Low),301.9,311.0,1289,54.9,128,0
105,L (Low),302.7,310.7,1398,57.7,19,0
106,L (Low),300.7,310.4,1234,51.7,160,0
107,H (High),298.5,307.9,1260,54.2,141,0
108,M (Medium),302.2,310.8,1356,48.3,36,0
109,M (Medium),302.3,311.1,1338,53.3,63,0
110,L (Low),299.0,308.1,1242,60.9,117,0
111,L (Low),302.3,310.1,1388,49.9,48,0
112,M (Medium),301.4,311.0,1234,55.8,152,0
113,L (Low),300.2,310.3,1202,59.5,40,0
114,L (Low),303.1,311.3,1403,55.6,150,0
115,H (High),301.6,310.4,1330,49.5,30,0
116,M (Medium),302.5,310.4,1429,43.2,191,0
117,M (Medium),299.4,308.7,1289,60.5,104,0
118,M (Medium),297.8,309.4,1226,58.7,129,0
119,M (Medium),300.2,310.4,1202,61.7,74,0
120,L (Low),303.0,311.2,1383,44.6,198,0
121,L (Low),301.7,310.5,1354,50.0,169,0
122,L (Low),302.0,310.6,1325,55.3,192,0
123,M (Medium),302.3,311.1,1295,57.1,146,0
124,H (High),302.4,310.2,1435,44.9,127,0
125,L (Low),304.0,313.2,1314,47.1,144,0
126,L (Low),302.0,309.9,1388,51.4,183,0
127,L (Low),302.4,310.1,1401,48.8,177,0
128,M (Medium),300.8,310.3,1270,61.0,54,0
129,L (Low),301.9,309.7,1424,42.8,140,0
130,L (Low),298.3,308.0,1242,62.0,98,0
131,L (Low),300.9,310.9,1228,66.4,109,0
132,M (Medium),301.9,310.6,1260,65.9,29,0
133,L (Low),301.9,309.6,1446,43.2,225,0
134,L (Low),301.8,310.0,1393,44.9,208,0
135,L (Low),303.0,311.2,1382,50.5,203,0
136,M (Medium),301.7,310.9,1300,62.7,36,0
137,L (Low),301.9,310.9,1309,48.0,124,0
138,H (High),301.8,309.9,1418,51.3,116,0
139,M (Medium),301.8,310.9,1299,60.4,48,0
140,L (Low),303.2,311.2,1427,45.6,25,0
141,L (Low),303.1,311.2,1399,49.2,111,0
142,L (Low),302.4,310.2,1400,53.7,175,0
143,M (Medium),301.0,309.7,1288,58.4,162,0
144,L (Low),302.8,310.6,1404,43.2,203,0
145,L (Low),301.3,310.0,1344,54.8,186,0
146,L (Low),303.5,312.1,1326,55.7,114,0
147,M (Medium),300.7,309.5,1352,44.0,126,0
148,H (High),302.0,310.6,1346,54.7,196,0
149,L (Low),303.9,312.7,1339,62.3,156,0
150,M (Medium),300.6,310.2,1233,52.3,23,0
151,L (Low),302.5,310.4,1427,46.8,179,0
152,L (Low),298.8,309.7,1225,63.4,37,0
153,L (Low),302.4,310.0,1426,46.6,102,0
154,L (Low),301.3,310.3,1313,55.6,127,0
155,H (High),302.5,310.4,1422,41.9,156,0
156,L (Low),302.4,311.0,1317,59.4,179,0
157,L (Low),300.7,309.6,1329,54.3,80,0
158,L (Low),303.3,311.3,1409,51.8,16,0
159,L (Low),302.6,311.6,1311,53.2,0,0
160,H (High),301.0,310.0,1212,67.9,30,0
161,M (Medium),302.4,311.3,1312,61.5,85,0
162,L (Low),303.3,311.3,1389,53.9,39,0
163,H (High),301.2,309.9,1362,50.7,25,0
164,H (High),302.3,310.2,1443,54.6,120,0
165,L (Low),303.2,311.2,1404,50.9,31,0
166,L (Low),300.2,309.7,1275,60.7,15,0
167,M (Medium),299.6,309.0,1245,64.0,120,0
168,M (Medium),303.7,312.0,1402,48.6,76,0
169,L (Low),301.0,310.5,1248,61.4,77,0
170,M (Medium),297.9,307.6,1202,67.0,129,0
171,M (Medium),300.5,309.5,1320,49.9,59,0
172,H (High),297.7,307.3,1249,62.8,47,0
173,L (Low),302.3,310.2,1394,55.4,57,0
174,M (Medium),301.9,309.6,1385,45.8,217,0
175,M (Medium),303.7,313.0,1303,54.4,2,0
176,L (Low),299.1,308.3,1305,61.4,17,0
177,L (Low),300.7,309.5,1251,59.9,120,0
178,L (Low),303.4,312.3,1287,54.8,54,0
179,L (Low),303.5,312.9,1275,64.4,113,0
180,M (Medium),303.0,311.1,1372,54.3,117,1
181,M (Medium),302.3,310.9,1360,44.0,67,1
182,M (Medium),301.8,309.9,1334,61.0,182,1
183,L (Low),302.4,310.2,1346,62.4,106,1
184,L (Low),301.9,310.4,1376,54.9,126,1
185,L (Low),301.6,310.1,1326,48.2,77,1
186,M (Medium),302.4,310.5,1372,45.7,144,1
187,H (High),302.7,310.4,1305,55.2,20,1
188,H (High),302.0,309.8,1280,57.3,147,1
189,L (Low),301.9,310.4,1370,51.7,153,1
190,M (Medium),303.2,311.5,1336,58.2,2,1
191,M (Medium),302.7,311.1,1297,60.7,125,1
192,L (Low),303.1,311.3,1336,52.6,172,1
193,M (Medium),303.4,311.8,1316,50.9,69,1
194,M (Medium),301.9,310.4,1373,48.0,73,1
195,M (Medium),300.8,309.4,1342,62.4,113,1
196,L (Low),302.4,310.2,1351,45.1,168,1
197,L (Low),302.4,310.7,1362,54.8,155,1
198,H (High),303.7,311.9,1332,52.7,66,1
199,L (Low),302.3,310.1,1353,50.9,36,1
