Time_Second,Machine_Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure
49,H (High),304.0,312.9,1495,46.6,0,0
50,L (Low),301.7,310.7,1763,25.9,3,0
51,M (Medium),297.6,309.3,1529,41.9,3,0
52,H (High),300.6,310.6,1419,39.6,3,0
53,L (Low),298.2,308.0,1658,30.0,3,0
54,L (Low),300.4,309.5,1525,51.3,4,0
55,L (Low),300.4,311.7,1373,47.2,3,0
56,L (Low),298.6,309.0,1456,47.7,0,0
57,L (Low),297.9,308.0,1501,36.7,4,0
58,L (Low),301.1,310.7,1376,49.1,0,0
59,H (High),301.3,310.0,1532,36.3,2,0
60,L (Low),299.3,310.8,1426,42.4,0,0
61,M (Medium),297.7,307.2,1405,43.7,2,0
62,M (Medium),297.3,308.3,1501,38.2,2,0
63,L (Low),302.3,311.7,1281,48.8,0,0
64,L (Low),297.1,308.5,1555,36.2,0,0
65,L (Low),301.3,311.1,1624,40.9,0,0
66,H (High),298.4,308.9,1577,37.1,0,0
67,H (High),300.2,310.3,1408,42.5,0,0
68,L (Low),298.8,308.9,1402,37.9,2,0
69,L (Low),299.3,308.4,1406,47.4,3,0
70,M (Medium),297.5,308.9,1436,44.8,2,0
71,M (Medium),299.5,310.7,1364,49.5,0,0
72,L (Low),299.1,308.5,1415,43.4,0,0
73,L (Low),298.7,309.8,1539,33.4,2,0
74,L (Low),300.3,309.9,1518,36.4,0,0
75,M (Medium),300.6,310.3,1614,32.7,0,0
76,L (Low),297.4,308.4,2151,17.7,0,0
77,L (Low),303.2,311.5,1513,37.9,0,0
78,L (Low),300.3,310.2,1492,52.3,2,0
79,L (Low),300.9,310.7,1573,31.2,2,0
80,L (Low),297.9,308.0,1296,62.9,41,0
81,M (Medium),300.0,310.2,1443,58.7,68,0
82,M (Medium),301.6,310.8,1290,65.3,63,0
83,H (High),299.2,308.6,1462,55.0,163,0
84,M (Medium),302.4,311.3,1312,61.5,85,0
85,L (Low),300.6,310.4,2514,13.4,215,0
86,H (High),301.0,310.0,1212,67.9,30,0
87,L (Low),298.7,309.6,1442,55.6,194,0
88,L (Low),301.5,311.1,2055,16.8,105,0
89,L (Low),303.8,312.8,1416,58.7,156,0
90,L (Low),298.5,308.0,1384,59.5,27,0
91,L (Low),302.0,310.5,2197,15.8,133,0
92,L (Low),297.6,308.6,2384,14.4,171,0
93,L (Low),297.4,308.4,1328,61.8,98,0
94,L (Low),303.6,312.9,1381,57.8,27,0
95,L (Low),297.7,309.2,1365,58.6,170,0
96,L (Low),299.4,309.3,1401,59.0,38,0
97,L (Low),298.2,307.8,1355,59.4,115,0
98,M (Medium),298.8,309.9,1331,61.6,46,0
99,M (Medium),298.5,309.7,1354,60.8,96,0
100,M (Medium),297.5,308.2,2448,13.8,29,0
101,L (Low),303.4,311.8,1438,58.9,22,0
102,L (Low),303.3,312.7,1262,63.8,100,0
103,L (Low),300.4,311.2,1436,56.8,173,0
104,L (Low),302.7,312.3,1346,61.2,170,0
105,L (Low),298.2,308.8,1354,60.9,32,0
106,L (Low),299.1,310.1,1336,61.3,94,0
107,L (Low),301.7,310.6,1447,56.9,47,0
108,L (Low),298.2,309.0,2449,13.8,45,0
109,L (Low),302.7,310.7,1398,57.7,19,0
110,L (Low),299.1,310.5,1389,61.4,64,0
111,L (Low),302.0,309.8,1456,58.1,145,0
112,L (Low),297.6,308.6,1326,62.4,173,0
113,H (High),301.9,311.0,1291,63.6,137,0
114,M (Medium),298.3,309.6,1469,54.8,191,0
115,M (Medium),299.5,309.2,1314,61.8,45,0
116,M (Medium),297.5,308.0,2033,16.7,128,0
117,L (Low),298.1,308.9,2136,15.9,78,0
118,L (Low),299.4,309.1,1207,66.5,66,0
119,M (Medium),300.3,309.5,1320,62.2,142,0
120,M (Medium),298.6,309.7,1280,64.1,71,0
121,M (Medium),299.6,309.4,1283,62.1,83,0
122,L (Low),298.8,308.6,1331,62.8,81,0
123,L (Low),297.3,308.5,1398,60.4,12,0
124,L (Low),301.7,310.5,2465,13.7,149,0
125,L (Low),300.4,310.4,1298,61.4,19,0
126,M (Medium),300.7,311.6,1348,62.5,36,0
127,M (Medium),300.7,312.4,1371,61.7,102,0
128,L (Low),302.4,311.0,2211,15.4,203,0
129,M (Medium),297.4,308.5,1465,55.9,153,0
130,L (Low),299.4,309.0,1391,58.2,135,0
131,M (Medium),302.6,310.5,1420,56.4,57,0
132,L (Low),298.3,309.1,1417,60.5,143,0
133,L (Low),298.4,307.9,2381,14.2,164,0
134,L (Low),300.6,309.4,2496,13.5,111,0
135,L (Low),301.8,310.6,1192,68.9,135,0
136,M (Medium),299.1,308.6,2329,14.6,95,0
137,L (Low),301.9,310.8,1400,58.2,79,0
138,L (Low),302.8,312.3,1386,57.8,172,0
139,M (Medium),301.7,310.9,1300,62.7,36,0
140,M (Medium),298.2,309.2,1332,60.2,147,0
141,L (Low),298.0,308.6,1430,57.0,43,0
142,M (Medium),302.0,310.6,1392,60.5,10,0
143,L (Low),297.1,307.8,1406,60.4,133,0
144,L (Low),298.1,308.3,1331,63.0,13,0
145,H (High),298.3,308.1,2636,12.8,84,0
146,L (Low),299.8,311.1,1300,64.2,165,0
147,L (Low),298.4,309.0,2304,15.1,89,0
148,L (Low),301.3,310.8,1531,53.4,57,0
149,L (Low),301.7,310.1,2695,12.6,10,0
150,L (Low),299.3,308.9,1376,60.3,163,0
151,M (Medium),304.3,313.5,2245,15.1,172,0
152,L (Low),301.6,310.6,1321,60.8,73,0
153,L (Low),300.7,310.2,1286,64.9,160,0
154,H (High),300.4,311.8,2496,13.5,5,0
155,M (Medium),297.5,309.4,1391,58.2,34,0
156,L (Low),300.5,309.8,1345,62.7,153,0
157,M (Medium),298.8,310.3,1366,59.0,94,0
158,M (Medium),300.9,311.1,1325,61.4,88,0
159,L (Low),304.3,313.5,2643,12.7,21,0
160,L (Low),301.0,311.6,1352,63.5,143,0
161,L (Low),300.0,309.7,1326,61.9,80,0
162,M (Medium),297.3,308.8,1447,57.4,134,0
163,H (High),297.5,308.6,1355,58.9,138,0
164,H (High),302.5,311.8,2370,14.7,198,0
165,M (Medium),300.6,310.0,1302,62.9,87,0
166,L (Low),300.2,309.8,1353,59.4,26,0
167,L (Low),300.4,311.2,1351,62.0,18,0
168,L (Low),301.3,310.8,1390,57.4,164,0
169,M (Medium),303.3,311.4,1395,59.1,4,0
170,M (Medium),297.7,308.9,1327,63.7,21,0
171,L (Low),300.3,311.3,1332,60.5,112,0
172,L (Low),300.7,310.7,1333,61.0,177,0
173,L (Low),297.4,308.8,1447,58.1,129,0
174,H (High),301.9,311.0,1336,63.6,111,0
175,M (Medium),298.8,309.8,1288,61.9,79,0
176,L (Low),299.0,308.6,1329,60.5,120,0
177,H (High),298.9,310.1,1366,62.7,161,0
178,L (Low),300.3,311.5,1403,60.1,58,0
179,H (High),299.0,308.8,1382,58.5,199,0
180,L (Low),300.8,310.1,1405,61.2,189,1
181,L (Low),298.0,308.7,1268,69.4,189,1
182,M (Medium),301.5,310.7,1336,65.6,0,1
183,M (Medium),301.1,310.7,2636,12.2,100,1
184,L (Low),298.9,309.1,2861,4.6,143,1
185,L (Low),298.5,308.2,1301,66.3,42,1
186,M (Medium),302.7,311.6,2709,9.7,2,1
187,L (Low),302.3,311.4,1333,66.7,205,1
188,L (Low),296.4,307.4,2833,5.6,213,1
189,L (Low),301.9,310.6,1331,68.6,85,1
190,M (Medium),301.0,312.2,2710,9.7,143,1
191,L (Low),303.5,312.4,1284,70.6,94,1
192,L (Low),300.2,311.0,1255,71.8,149,1
193,M (Medium),301.8,310.1,2372,13.9,205,1
194,L (Low),295.7,306.2,2270,14.6,149,1
195,M (Medium),298.4,308.7,1421,60.7,119,1
196,L (Low),298.4,309.5,2153,15.3,98,1
197,L (Low),299.5,308.7,2549,13.0,179,1
198,L (Low),302.4,311.0,1338,67.6,194,1
199,L (Low),300.7,310.9,1356,65.3,66,1
