Time_Second,Machine_Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure
49,H (High),304.0,312.9,1495,46.6,0,0
50,L (Low),301.7,310.7,1763,25.9,3,0
51,M (Medium),297.6,309.3,1529,41.9,3,0
52,H (High),300.6,310.6,1419,39.6,3,0
53,L (Low),298.2,308.0,1658,30.0,3,0
54,L (Low),300.4,309.5,1525,51.3,4,0
55,L (Low),300.4,311.7,1373,47.2,3,0
56,L (Low),298.6,309.0,1456,47.7,0,0
57,L (Low),297.9,308.0,1501,36.7,4,0
58,L (Low),301.1,310.7,1376,49.1,0,0
59,H (High),301.3,310.0,1532,36.3,2,0
60,L (Low),299.3,310.8,1426,42.4,0,0
61,M (Medium),297.7,307.2,1405,43.7,2,0
62,M (Medium),297.3,308.3,1501,38.2,2,0
63,L (Low),302.3,311.7,1281,48.8,0,0
64,L (Low),297.1,308.5,1555,36.2,0,0
65,L (Low),301.3,311.1,1624,40.9,0,0
66,H (High),298.4,308.9,1577,37.1,0,0
67,H (High),300.2,310.3,1408,42.5,0,0
68,L (Low),298.8,308.9,1402,37.9,2,0
69,L (Low),299.3,308.4,1406,47.4,3,0
70,M (Medium),297.5,308.9,1436,44.8,2,0
71,M (Medium),299.5,310.7,1364,49.5,0,0
72,L (Low),299.1,308.5,1415,43.4,0,0
73,L (Low),298.7,309.8,1539,33.4,2,0
74,L (Low),300.3,309.9,1518,36.4,0,0
75,M (Medium),300.6,310.3,1614,32.7,0,0
76,L (Low),297.4,308.4,2151,17.7,0,0
77,L (Low),303.2,311.5,1513,37.9,0,0
78,L (Low),300.3,310.2,1492,52.3,2,0
79,L (Low),300.9,310.7,1573,31.2,2,0
80,M (Medium),298.3,309.6,1469,54.8,191,0
81,M (Medium),298.3,309.3,1376,57.0,198,0
82,M (Medium),298.1,307.8,1316,57.2,191,0
83,H (High),298.9,310.1,1324,54.6,185,0
84,L (Low),302.5,311.9,1306,59.7,172,0
85,L (Low),298.4,309.2,1345,52.7,196,0
86,M (Medium),300.5,309.4,1347,50.1,213,0
87,H (High),300.7,310.8,1346,52.0,193,0
88,M (Medium),300.2,309.4,1456,48.8,205,0
89,L (Low),297.6,308.6,1326,62.4,173,0
90,L (Low),297.5,308.2,1327,56.5,189,0
91,L (Low),297.7,309.2,1365,58.6,170,0
92,L (Low),300.6,311.9,1425,44.9,224,0
93,L (Low),299.8,309.3,1291,56.4,188,0
94,M (Medium),300.1,311.7,1400,48.5,205,0
95,H (High),297.5,309.3,1459,49.7,201,0
96,L (Low),302.3,311.5,1395,54.2,198,0
97,M (Medium),298.0,308.2,1395,49.1,206,0
98,L (Low),302.5,311.6,1400,54.0,196,0
99,L (Low),297.4,308.4,1394,50.1,213,0
100,L (Low),299.9,310.4,1328,49.9,206,0
101,H (High),298.8,310.5,1294,55.8,202,0
102,M (Medium),299.2,308.8,1314,52.5,193,0
103,L (Low),298.9,310.2,1304,57.2,183,0
104,H (High),300.3,309.9,1405,52.1,205,0
105,M (Medium),299.9,310.4,1367,53.3,201,0
106,L (Low),298.8,310.5,1384,52.8,200,0
107,M (Medium),298.1,307.4,1335,56.2,190,0
108,L (Low),300.3,309.3,1345,53.5,192,0
109,L (Low),302.1,311.0,1364,50.0,205,0
110,M (Medium),301.1,311.6,1266,55.5,210,0
111,M (Medium),300.8,310.5,1330,59.0,190,0
112,M (Medium),301.3,311.0,1463,50.2,214,0
113,M (Medium),297.1,308.4,1432,53.4,199,0
114,L (Low),300.6,311.8,1501,44.8,226,0
115,M (Medium),300.2,309.7,1183,61.4,170,0
116,L (Low),301.3,310.4,1414,51.4,199,0
117,M (Medium),300.9,312.0,1375,56.1,182,0
118,L (Low),298.4,308.2,1471,47.0,214,0
119,H (High),298.8,309.6,1309,57.4,185,0
120,M (Medium),299.3,308.7,1390,49.3,215,0
121,L (Low),299.2,308.9,1342,50.8,195,0
122,L (Low),302.8,312.3,1366,49.1,221,0
123,L (Low),297.4,308.2,1297,52.1,211,0
124,L (Low),299.1,308.9,1467,47.2,218,0
125,H (High),298.2,307.6,1460,48.6,204,0
126,L (Low),301.9,309.6,1410,49.0,223,0
127,M (Medium),299.7,309.6,1313,60.0,186,0
128,M (Medium),298.0,308.1,1339,51.6,197,0
129,H (High),302.8,312.3,1483,47.2,223,0
130,L (Low),301.3,310.1,1355,53.6,193,0
131,M (Medium),299.4,310.7,1492,45.7,219,0
132,M (Medium),298.3,309.1,1296,58.7,201,0
133,L (Low),297.5,308.6,1380,53.5,192,0
134,M (Medium),298.8,309.9,1415,53.2,194,0
135,M (Medium),300.0,310.1,1314,53.5,199,0
136,L (Low),301.3,310.0,1344,54.8,186,0
137,M (Medium),299.3,308.7,1420,50.3,208,0
138,L (Low),303.4,311.7,1406,47.1,213,0
139,L (Low),300.5,309.8,1421,49.6,211,0
140,L (Low),302.5,311.2,1227,60.1,167,0
141,L (Low),300.7,309.5,1479,43.6,240,0
142,M (Medium),296.2,307.2,1168,63.4,172,0
143,H (High),303.6,312.4,1460,53.7,214,0
144,L (Low),297.3,308.6,1273,59.8,182,0
145,L (Low),302.0,310.6,1358,53.1,194,0
146,L (Low),301.6,310.7,1424,50.5,214,0
147,M (Medium),298.3,309.5,1543,49.9,199,0
148,M (Medium),297.5,309.2,1347,55.8,188,0
149,L (Low),302.2,311.2,1381,49.4,207,0
150,M (Medium),300.1,309.2,1438,51.0,211,0
151,H (High),298.9,310.3,1243,63.0,163,0
152,M (Medium),297.6,309.3,1464,46.2,218,0
153,L (Low),296.2,307.1,1413,53.4,203,0
154,L (Low),298.7,309.9,1371,51.3,201,0
155,H (High),297.6,309.6,1419,48.2,215,0
156,M (Medium),300.6,311.7,1389,52.1,210,0
157,L (Low),300.7,310.6,1288,47.2,216,0
158,H (High),301.6,310.6,1400,49.5,211,0
159,L (Low),296.8,308.2,1361,53.8,193,0
160,M (Medium),297.4,308.9,1348,59.1,201,0
161,L (Low),302.0,310.6,1325,55.3,192,0
162,L (Low),298.7,309.6,1442,55.6,194,0
163,L (Low),302.8,312.3,1386,57.8,172,0
164,M (Medium),298.2,308.7,1269,60.9,163,0
165,M (Medium),301.4,310.5,1495,52.5,201,0
166,M (Medium),299.9,310.1,1362,56.3,179,0
167,L (Low),300.8,311.8,1323,61.1,178,0
168,M (Medium),300.4,311.2,1366,56.1,177,0
169,M (Medium),300.8,312.0,1274,67.3,159,0
170,M (Medium),298.0,308.2,1373,51.2,215,0
171,H (High),301.6,310.7,1414,51.7,197,0
172,L (Low),301.5,310.6,1381,50.7,206,0
173,L (Low),304.0,312.9,1313,53.9,202,0
174,H (High),300.6,309.4,1463,49.2,235,0
175,L (Low),303.7,312.5,1433,53.6,185,0
176,H (High),298.9,310.1,1366,62.7,161,0
177,M (Medium),302.4,311.2,1330,58.6,201,0
178,L (Low),300.6,311.7,1428,52.6,208,0
179,L (Low),300.5,309.3,1373,48.8,211,0
180,L (Low),301.0,311.0,1399,58.0,190,1
181,L (Low),302.0,310.8,1383,50.3,231,1
182,L (Low),299.2,310.3,1352,48.9,238,1
183,L (Low),298.0,308.7,1268,69.4,189,1
184,L (Low),297.4,308.4,1369,50.6,220,1
185,M (Medium),297.3,308.3,1459,59.6,207,1
186,L (Low),301.0,310.5,1379,57.3,204,1
187,L (Low),302.0,309.9,1308,57.6,197,1
188,L (Low),297.0,307.8,1385,56.4,202,1
189,L (Low),298.9,309.0,1410,65.7,191,1
190,L (Low),301.3,310.1,1269,56.8,195,1
191,L (Low),300.4,311.8,1272,59.2,198,1
192,L (Low),303.4,311.8,1306,61.0,215,1
193,L (Low),299.2,309.0,1515,48.9,228,1
194,L (Low),302.7,310.5,1263,67.8,197,1
195,L (Low),298.0,308.3,1362,56.8,216,1
196,L (Low),299.5,309.4,1390,58.8,195,1
197,L (Low),296.9,307.8,1400,57.1,202,1
198,L (Low),299.1,310.0,1367,56.3,203,1
199,L (Low),300.7,311.8,1336,58.4,189,1
